fac,hospital_name,hospital_type,hospital_type_group,direction_number,direction_name,direction_description,key_actions,plan_period_start,plan_period_end,plan_period_start_raw,plan_period_end_raw,primary_theme,secondary_theme,classification_confidence,classified_on,classification_notes,classification_status,robots_allowed,cihi_peer_group,licensed_beds,hospital_name_self_reported,plan_start_year,plan_period_parse_ok,vision,mission,values,purpose,extraction_quality,extraction_notes,source_type,extraction_date,direction_type
685,MICS Group IROQUOIS FALLS ANSON GENERAL,Small Hospital,Community — Small,4,Seamless Care,NA,"Optimize transition of care for patients and residents. | Collaborate with patients, residents and families for a positive healthcare experience. | Enhance/Improve current services.",2023-01-01,2026-01-01,2023,2026,ACC,PAT,high,name_description,"Primary ACC: focus on care transitions, optimization of flow, and service enhancement aligns with access and care delivery model. Secondary PAT: collaboration with patients/families for positive experience represents patient-centred care component.",ok,TRUE,NA,NA,MICs Group of Health Services,2023,TRUE,Quality care for everyone always!,Partnering to deliver excellent health care for our communities.,Accountability | Quality | Integrity | Respect,NA,full,Document is bilingual (English and French) with identical strategic content presented in both languages,pdf,2026-03-27,direction
685,MICS Group IROQUOIS FALLS ANSON GENERAL,Small Hospital,Community — Small,5,Sustainability,NA,Invest in innovative talent management strategies. | Support environmental growth and initiatives. | Attain financial sustainability.,2023-01-01,2026-01-01,2023,2026,FIN,WRK,medium,name_description,"Direction explicitly states 'attain financial sustainability' as a key action, making FIN primary. 'Innovative talent management strategies' represents substantial WRK content (workforce sustainability, retention). Environmental initiatives mentioned but not detailed enough to warrant ORG as secondary theme.",ok,TRUE,NA,NA,MICs Group of Health Services,2023,TRUE,Quality care for everyone always!,Partnering to deliver excellent health care for our communities.,Accountability | Quality | Integrity | Respect,NA,full,Document is bilingual (English and French) with identical strategic content presented in both languages,pdf,2026-03-27,direction
686,WAWA LADY DUNN HC,Small Hospital,Community — Small,1,Focus On Quality In Delivering Our Services,"In focusing on quality, we hold ourselves to the highest standards by ensuring that we deliver care on evidence-based best practices, and by always putting clients first.","Continuously improve and resource processes to ensure quality results. | Implement and consistently apply quality standards and checks in delivering care while focusing on environmental stewardship. | Deliver services to meet the linguistic and cultural needs of Francophones and Indigenous People as well as other diverse groups. | Implement the ONE Project, partnering with regional health service providers to share a common health information system. | Advance the scope of registered staff.",2022-01-01,2027-01-01,2022,2027,PAT,EDI,high,full,"Primary theme is PAT due to focus on evidence-based care, quality standards, and client-first approach. Secondary theme is EDI due to substantial action on linguistic and cultural needs of Francophones, Indigenous People, and diverse groups. The ONE Project (shared health information system) supports quality delivery but is a means to the quality end, not a digital transformation focus. Advancing registered staff scope supports quality care delivery.",ok,TRUE,NA,NA,Lady Dunn Health Centre,2022,TRUE,"Excellent health care for every one, every day.",To provide our communities with high quality health services.,Respect | Trust | Integrity | Compassion | Inclusiveness,NA,full,NA,pdf,2026-03-27,direction
686,WAWA LADY DUNN HC,Small Hospital,Community — Small,2,Create and Sustain Organizational Resilience,"By increasing resilience, we increase our effectiveness and help to ensure our sustainability.","Continue to support staff members in creating a harmonious, safe and healthy work environment. | Develop project management and change management methodologies to use consistently. | Increase the capacity and engagement of organization leaders in developing, monitoring, and managing their budgets. | Strengthen processes relating to recruitment, retention and succession planning. | Expand on successes in clinical training to provide comprehensive training opportunities for all staff. | Integrate technology in how we work in all areas.",2022-01-01,2027-01-01,2022,2027,WRK,ORG,high,full,"Primary WRK: Actions heavily emphasize workforce elements (safe work environment, recruitment, retention, succession planning, comprehensive staff training). Secondary ORG: Organizational processes like project/change management methodologies and technology integration reflect how the hospital operates institutionally. Financial capacity building present but serves broader organizational resilience, not financial sustainability as primary goal.",ok,TRUE,NA,NA,Lady Dunn Health Centre,2022,TRUE,"Excellent health care for every one, every day.",To provide our communities with high quality health services.,Respect | Trust | Integrity | Compassion | Inclusiveness,NA,full,NA,pdf,2026-03-27,direction
686,WAWA LADY DUNN HC,Small Hospital,Community — Small,3,Integrate and partner with others to better serve our community,"Through partnerships and collaboration, we lead and participate in the development of a high performing health care system locally, regionally and province wide.","Continue to develop our local campus of care and Ontario Health Team partnership. | Seek out and participate in initiatives that will develop or enhance services to meet community needs. | Partner with others in support of the mental health of our community. | Communicate effectively with all stakeholders to ensure awareness of LDHC's services, issues and shared opportunities. | Showcase different staff roles. | Explore opportunities for shared resources and roles.",2022-01-01,2027-01-01,2022,2027,PAR,ACC,high,full,"Clear partnership focus with Ontario Health Team, campus of care development, and shared resources. Secondary ACC assigned due to substantial emphasis on service delivery and meeting community needs through integrated care models.",ok,TRUE,NA,NA,Lady Dunn Health Centre,2022,TRUE,"Excellent health care for every one, every day.",To provide our communities with high quality health services.,Respect | Trust | Integrity | Compassion | Inclusiveness,NA,full,NA,pdf,2026-03-27,direction
686,WAWA LADY DUNN HC,Small Hospital,Community — Small,4,Seek and Optimize Financial Resources,"Through partnerships and collaboration we will lead and participate in the development of a high-performing health care system locally, regionally and province wide.","Capitalize on funded regional and Ministry opportunities as they arise (e.g. outpatient laboratory services, Meditech 6.1, Home and Community Care, LTC home expansion). | Use performance indicators to support the allocation of resources. | Identify and explore new revenue streams.",2022-01-01,2027-01-01,2022,2027,FIN,PAR,high,full,"Primary is clearly FIN: direction name explicitly states 'optimize financial resources' and actions focus on capitalizing on funding opportunities, resource allocation, and new revenue streams. Secondary PAR is warranted because the description emphasizes partnerships and collaboration to develop a high-performing system, and actions reference regional/Ministry opportunities requiring external collaboration.",ok,TRUE,NA,NA,Lady Dunn Health Centre,2022,TRUE,"Excellent health care for every one, every day.",To provide our communities with high quality health services.,Respect | Trust | Integrity | Compassion | Inclusiveness,NA,full,NA,pdf,2026-03-27,direction
695,KINGSTON PROVIDENCE CARE HOSPITAL,Chronic/Rehab Hospital,Specialty,1,Quality,"Providence Care enhances the quality of life for the people we serve, demonstrating that:","Our people foster meaningful partnerships with the people we serve to achieve the best possible outcomes and experiences. | Our teams strive to exceed standards of excellence through a commitment to equity and accountability. | We embrace quality improvement, driven by collaboration and a shared vision for better care and services.",2025-01-01,2028-01-01,2025,2028,PAT,WRK,high,full,"Primary PAT: Core focus on patient outcomes, experiences, quality improvement, and care excellence. Secondary WRK: Substantial emphasis on 'our people' and 'our teams' fostering partnerships and striving for excellence, indicating workforce engagement and culture as a key enabler of quality.",ok,TRUE,NA,NA,Providence Care,2025,TRUE,"We will shape the future by redefining care in aging, mental health, palliative care and rehabilitation.","Providence Care, a Catholic health organization, is strengthened by the spirit and tradition of our Founders, the Sisters of Providence of St. Vincent de Paul. We instill hope and enhance the quality of life of the people we serve. Through partnership and innovation, we excel in care, education and research to meet the needs of the whole person.",Respect & Dignity | Compassion | Stewardship | Inclusion,NA,full,NA,pdf,2026-03-27,direction
695,KINGSTON PROVIDENCE CARE HOSPITAL,Chronic/Rehab Hospital,Specialty,2,Research & Innovation,"Providence Care drives meaningful improvement through innovation, guided by research and learning, demonstrating that:","A culture of curiosity and transformation is nurtured. | Our teams actively seek, generate, and apply best practices to deliver equitable, person-centered care. | Research is advanced by fostering discovery and encouraging diverse perspectives. | We share our knowledge openly to inspire progress and benefit the broader community.",2025-01-01,2028-01-01,2025,2028,RES,INN,high,full,Clear dual focus: research advancement and discovery (RES) paired with innovation culture and best practice application (INN). Both themes substantially represented in description and actions.,ok,TRUE,NA,NA,Providence Care,2025,TRUE,"We will shape the future by redefining care in aging, mental health, palliative care and rehabilitation.","Providence Care, a Catholic health organization, is strengthened by the spirit and tradition of our Founders, the Sisters of Providence of St. Vincent de Paul. We instill hope and enhance the quality of life of the people we serve. Through partnership and innovation, we excel in care, education and research to meet the needs of the whole person.",Respect & Dignity | Compassion | Stewardship | Inclusion,NA,full,NA,pdf,2026-03-27,direction
695,KINGSTON PROVIDENCE CARE HOSPITAL,Chronic/Rehab Hospital,Specialty,3,Sustainability,"Providence Care manages our resources thoughtfully and sustainably, demonstrating that:","Our resources are maximized to meet the diverse needs of our people and the communities we serve. | Our services are strategically integrated to create lasting value and equitable access. | Our investments prioritize improvements that enhance the well-being of individuals, care of the earth, and long-term community health. | A culture of generosity, collaboration and shared responsibility thrives.",2025-01-01,2028-01-01,2025,2028,FIN,ORG,medium,full,"Primary FIN: resource maximization, strategic integration for value, and investment prioritization all point to financial sustainability and resource stewardship. Secondary ORG: culture of generosity, collaboration, and shared responsibility reflects organizational culture. Environmental sustainability ('care of the earth') is mentioned but not dominant enough to override the financial/resource focus.",ok,TRUE,NA,NA,Providence Care,2025,TRUE,"We will shape the future by redefining care in aging, mental health, palliative care and rehabilitation.","Providence Care, a Catholic health organization, is strengthened by the spirit and tradition of our Founders, the Sisters of Providence of St. Vincent de Paul. We instill hope and enhance the quality of life of the people we serve. Through partnership and innovation, we excel in care, education and research to meet the needs of the whole person.",Respect & Dignity | Compassion | Stewardship | Inclusion,NA,full,NA,pdf,2026-03-27,direction
695,KINGSTON PROVIDENCE CARE HOSPITAL,Chronic/Rehab Hospital,Specialty,4,Access,"Providence Care partners across the continuum of care to improve equitable access for all, demonstrating that:","Our services are widely recognized and adapt to emerging needs. | Our services are inclusive, trusted, and accessible to individuals of all identities, abilities, and backgrounds –free from discrimination and system inequities. | Our services support reconciliation and respect for Indigenous identities, histories, and cultures. | Our teams build respectful partnerships to optimize transitions in care and enhance the experience of those we serve.",2025-01-01,2028-01-01,2025,2028,ACC,EDI,high,full,"Primary theme is clearly ACC based on 'equitable access', 'transitions in care', and 'continuum of care' language. Secondary theme EDI is substantially present through explicit focus on inclusive services, anti-discrimination, system inequities, and Indigenous reconciliation — not merely mentioned but central to multiple actions.",ok,TRUE,NA,NA,Providence Care,2025,TRUE,"We will shape the future by redefining care in aging, mental health, palliative care and rehabilitation.","Providence Care, a Catholic health organization, is strengthened by the spirit and tradition of our Founders, the Sisters of Providence of St. Vincent de Paul. We instill hope and enhance the quality of life of the people we serve. Through partnership and innovation, we excel in care, education and research to meet the needs of the whole person.",Respect & Dignity | Compassion | Stewardship | Inclusion,NA,full,NA,pdf,2026-03-27,direction
695,KINGSTON PROVIDENCE CARE HOSPITAL,Chronic/Rehab Hospital,Specialty,5,Inclusive & Healthy workplace,"Providence Care fosters the health, well-being, and belonging of everyone who works, learns, or volunteers with us, demonstrating that:","Our workplaces are inclusive, safe and promote overall well-being free from discrimination and systemic inequities. | Our people are encouraged to pursue lifelong learning, continuous growth, and development. | Our people feel valued and appreciated through recognition of their contributions and perspectives. | Our leaders are visible and accessible. | Our people are accountable and supported in their roles. | Our communication is dynamic and effective.",2025-01-01,2028-01-01,2025,2028,WRK,EDI,high,full,"Primary WRK: Core focus on workplace health, well-being, belonging, professional development, recognition, leadership accessibility, and accountability. Secondary EDI: Explicit commitment to inclusive workplaces free from discrimination and systemic inequities is substantial enough to warrant secondary classification.",ok,TRUE,NA,NA,Providence Care,2025,TRUE,"We will shape the future by redefining care in aging, mental health, palliative care and rehabilitation.","Providence Care, a Catholic health organization, is strengthened by the spirit and tradition of our Founders, the Sisters of Providence of St. Vincent de Paul. We instill hope and enhance the quality of life of the people we serve. Through partnership and innovation, we excel in care, education and research to meet the needs of the whole person.",Respect & Dignity | Compassion | Stewardship | Inclusion,NA,full,NA,pdf,2026-03-27,direction
696,KIRKLAND & DISTRICT,Small Hospital,Community — Small,1,System Integration,"BRH believes that each organization has strength and capacity to provide excellent services and by working together, actively removing barriers, we can respond to people's holistic needs timely, we can prevent people needing help falling through the cracks, and we can uphold a world-class healthcare system for all.",Advance standardization between sites | Stronger and sustained collaboration with partners | Actively support the Temiskaming and Area Ontario Health Team and Cochrane and District Ontario Health Team | Continue exploring conversations around service expansion and opportunities to meet the needs of the population,2024-01-01,2029-01-01,2024,2029,PAR,ACC,high,full,"Primary PAR: Core focus on external collaboration, partnerships, and Ontario Health Team participation. Secondary ACC: Service expansion and meeting population needs through integrated delivery model. Standardization between sites supports both integration and access goals.",ok,TRUE,NA,NA,Blanche River Health,2024,TRUE,We envision Blanche River Health as an established leader in northern rural health care,Making healthcare work for you,Accountability | Respect | Courage to Excel,NA,full,Document is titled 'Operational Plan' but contains strategic plan content with pillars and priorities,pdf,2026-03-27,direction
696,KIRKLAND & DISTRICT,Small Hospital,Community — Small,2,People Centered-Care,"BRH believes that the system should work for the people and not the people trying to figure out how to navigate the complex system. We see individuals as a whole person, with worth and dignity, and are deserving of the best care possible at the right place, the right time, the right provider, and as close to home as possible.","Integrate Equity, Diversity, and Inclusive (EDI) principles in BRH Culture | Relentless pursuit of excellence in care and service using data, out of the box thinking, and person-centered principles | Integrate people's voices in organizational processes through various committees including the Patient Experience Partners (PEP) | Actively support individuals and families' holistic needs",2024-01-01,2029-01-01,2024,2029,PAT,EDI,high,full,"Primary theme is clearly patient-centred care, quality, and patient experience (right care, right time, right place, patient voices, holistic needs). Secondary theme EDI is explicitly stated as a key action integrating EDI principles into culture. The direction fundamentally focuses on how care is delivered to patients with EDI as an important supporting principle.",ok,TRUE,NA,NA,Blanche River Health,2024,TRUE,We envision Blanche River Health as an established leader in northern rural health care,Making healthcare work for you,Accountability | Respect | Courage to Excel,NA,full,Document is titled 'Operational Plan' but contains strategic plan content with pillars and priorities,pdf,2026-03-27,direction
696,KIRKLAND & DISTRICT,Small Hospital,Community — Small,3,Infrastructure,"In order to provide the best care possible, BRH believes in having the right infrastructure to support the work that we do - physical, technological, data, equipment, and processes. We believe in proactive maintenance and advocacy to maintain the resources that are needed to provide the best care possible. Continuous quality improvement is embedded in everything that we do.","Successfully implement Meditech Expanse, continuous exploration of automation opportunities that support efficiency and better data support | ED/ICU renovations advanced to the extent possible, along with other infrastructure projects for quality improvement | Establish key internal controls that provide clarity in processes and expectations | Advance accessibility framework | Establish a Culture of Quality Improvement and Excellence",2024-01-01,2029-01-01,2024,2029,INF,INN,high,full,"Primary INF: Core focus on physical infrastructure (ED/ICU renovations), facilities, equipment, processes, and operational excellence. Secondary INN: Substantial digital transformation component (Meditech Expanse implementation, automation, data support). Quality improvement mentioned but treated as operational methodology rather than patient-focused quality (PAT).",ok,TRUE,NA,NA,Blanche River Health,2024,TRUE,We envision Blanche River Health as an established leader in northern rural health care,Making healthcare work for you,Accountability | Respect | Courage to Excel,NA,full,Document is titled 'Operational Plan' but contains strategic plan content with pillars and priorities,pdf,2026-03-27,direction
696,KIRKLAND & DISTRICT,Small Hospital,Community — Small,4,Health and Human Resources,"The backbone of our services is our people. Our employees, our leaders, our physicians, our partners, our volunteers. Our people's welfare is our priority. BRH believes in fair and equitable treatment, in providing a safe and welcoming work environment where people thrive and pursue continuous growth, and where people are valued.","Stabilize the workforce through effective recruitment and retention programs | Employee safety and wellness are prioritized | Stronger labour relations rooted in respect, openness, transparency, fairness, and consistency | Create a thriving volunteer-based support for BRH | Support and empower the physicians / NPs, and all clinical care providers in consistently upholding people-centered care",2024-01-01,2029-01-01,2024,2029,WRK,NA,high,full,"Clear workforce focus: recruitment, retention, employee safety/wellness, labour relations, work environment. Final action mentions 'people-centered care' but in context of supporting clinical providers (workforce enablement), not patient experience strategy.",ok,TRUE,NA,NA,Blanche River Health,2024,TRUE,We envision Blanche River Health as an established leader in northern rural health care,Making healthcare work for you,Accountability | Respect | Courage to Excel,NA,full,Document is titled 'Operational Plan' but contains strategic plan content with pillars and priorities,pdf,2026-03-27,direction
696,KIRKLAND & DISTRICT,Small Hospital,Community — Small,5,Communication,"The heart of what we do is dependent on the quality of our communication, BRH believes in timely, responsive, transparent, and clear communication as the vehicle to get our work done and to serve effectively. BRH is committed to ongoing improvement and to ensuring that our people, our community members, our partners, are well-informed and proactively engaged with our organization.",A comprehensive communications framework / strategy is implemented | Effective internal communication strategies are utilized in the organization | Effective partners communication strategies are implemented | Effective public communication strategies are implemented | Effective communication is integrated in all aspects of work and is assessed regularly,2024-01-01,2029-01-01,2024,2029,ORG,NA,high,full,"Communication is framed as foundational to organizational functioning and culture ('heart of what we do', 'vehicle to get our work done'). The comprehensive framework and integration across all work aspects indicates organizational excellence and how the institution operates, rather than serving a specific functional purpose like patient engagement or partnership building.",ok,TRUE,NA,NA,Blanche River Health,2024,TRUE,We envision Blanche River Health as an established leader in northern rural health care,Making healthcare work for you,Accountability | Respect | Courage to Excel,NA,full,Document is titled 'Operational Plan' but contains strategic plan content with pillars and priorities,pdf,2026-03-27,direction
696,KIRKLAND & DISTRICT,Small Hospital,Community — Small,6,Fiscal Accountability,"BRH believes in managing our resources effectively so we can continue to provide excellent services, we can continue to think outside the box, and we can continue to invest in the future of healthcare in our communities.","Regular operations review are held annually or as needed | Establish committees that promote transparency, accountability and efficient use of resources | Data-driven decision making with clear processes in place is established | Support and strengthen BRH Foundation | BRH resources / finances are managed well",2024-01-01,2029-01-01,2024,2029,FIN,NA,high,full,NA,ok,TRUE,NA,NA,Blanche River Health,2024,TRUE,We envision Blanche River Health as an established leader in northern rural health care,Making healthcare work for you,Accountability | Respect | Courage to Excel,NA,full,Document is titled 'Operational Plan' but contains strategic plan content with pillars and priorities,pdf,2026-03-27,direction
701,RICHMOND HILL MACKENZIE HEALTH,Large Community Hospital,Community — Large,1,Patient Care Excellence,"At Mackenzie Health, Patient Care Excellence is the driving force behind everything we do, making it the focal point of our 2025-2028 Strategic Plan. As part of our previous Strategic Plan, we doubled community access to care by opening Cortellucci Vaughan Hospital and expanded our team with hundreds of new staff, physicians and volunteers — all while adapting and stabilizing operations in a two-hospital model with new facilities, equipment and technology. To enhance quality and safety in this environment, especially as preventable harm in health care remains a global challenge, we invested in High Reliability Organizing (HRO) principles — the same strategies used in high-risk industries such as nuclear power to prevent errors by empowering everyone to speak up for safety. This approach builds on our Zero Harm journey. Since then, we've seen significant improvements in patient care, safety, experience and staff engagement. By May 2025, more than 91 per cent of staff and physicians completed full-day universal safety training. We introduced leadership safety huddles and HRO tools to improve harm reporting, reduce harm rates and foster a culture of safety with shared language and consistent practices. These efforts have led to fewer harm events, stronger staff morale and better patient experiences, placing us ahead of many of our peer hospitals when it comes to preventing unintended harm. Looking ahead and building on the foundations of quality and safety, we're deepening our focus on compassionate, person-centred care. This includes reinforcing our commitment to empathy in every interaction and harnessing digital innovations and intelligent systems to elevate the care experience. These efforts will help empower Mackenzie Health to deliver exemplary, reliable and high-quality care every time — creating a world-class experience for every person we serve.","Demonstrating a strong commitment to caring and safety through empathetic communication in every interaction | Leveraging digital solutions and intelligent systems to advance data-driven decision-making, high reliability, service delivery models and person-centred care",2025-01-01,2028-01-01,2025,2028,PAT,INN,high,full,"Primary theme is clearly PAT: focus on patient care excellence, quality, safety, High Reliability Organizing, Zero Harm, patient experience, and person-centred care. Secondary theme INN is substantially present through explicit emphasis on 'digital innovations and intelligent systems,' 'digital solutions,' and 'data-driven decision-making' to elevate care delivery. The empathetic communication and safety culture elements reinforce PAT as primary.",ok,TRUE,NA,NA,Mackenzie Health,2025,TRUE,Create a world-class health experience,Relentlessly improve care to create healthier communities,Excellence | Leadership | Empathy,NA,full,NA,pdf,2026-03-27,direction
701,RICHMOND HILL MACKENZIE HEALTH,Large Community Hospital,Community — Large,2,People are our Strength,"Our people at Mackenzie Health play a critical role in achieving patient care excellence and enabling us to deliver on our strategic priorities. The dedication of staff, physicians and volunteers to excellence, compassion and collaboration underpins our delivery of safe, high-quality, person-centred care. As part of the 2022–2025 Strategic Plan, we focused on strengthening recruitment and retention, expanded educational support and advanced our Zero Harm journey to create a safe and reliable environment. These efforts have led to reduced vacancies, the successful onboarding of hundreds of new team members and widespread training in high reliability practices. We doubled our investment in learning and increased the presence of learners within the organization. As a result, the 2025 Employee and Physician Experience Survey showed our highest engagement scores to date, ranking in the 93rd percentile in overall staff engagement and in the 90th percentile for physician engagement among peers. Mackenzie Health, as measured by Metrics@Work, is now among the top three hospitals in Ontario for positive engagement, surpassing hospital sector benchmarks in nearly every compared area and setting several new record high scores. Looking ahead and building on the foundation of recruitment, retention and high reliability, Mackenzie Health will modernize corporate services systems and workflows through a modern Enterprise Resource Planning (ERP) system, advance learning and career pathways, invest in leadership development and continue to cultivate a strong sense of belonging, wellness and safety.","Modernizing corporate services and workflows to enhance meaningful work, staff experience and real-time data analytics | Building structured learning and career pathways that enable growth and development | Investing in leadership development to grow future staff and physician leaders and empower teams | Cultivating a strong sense of belonging, wellness and safety by fostering a culture where everyone feels valued",2025-01-01,2028-01-01,2025,2028,WRK,NA,high,full,"Clear workforce focus throughout: recruitment, retention, engagement, learning, leadership development, belonging, wellness, safety. ERP system mentioned but framed as supporting staff experience and meaningful work, not as operational infrastructure per se. No substantial secondary theme warranted.",ok,TRUE,NA,NA,Mackenzie Health,2025,TRUE,Create a world-class health experience,Relentlessly improve care to create healthier communities,Excellence | Leadership | Empathy,NA,full,NA,pdf,2026-03-27,direction
701,RICHMOND HILL MACKENZIE HEALTH,Large Community Hospital,Community — Large,3,Growing with our Communities,"Meeting the needs of our fast-growing communities is a critical priority that requires bold action and ongoing investment. Following the opening of Cortellucci Vaughan Hospital, we developed a Clinical Services Plan to expand specialized care across all sites and began long-term land and site planning for Mackenzie Richmond Hill Hospital. While awaiting Ministry approval to activate shelled floors at Cortellucci Vaughan Hospital, interim strategies have been implemented to address rising demand for services. Five priority areas for growth were identified based on community needs: advanced cardiology, cancer care, advanced stroke, vascular care and seniors' care. Additional areas for specialized service expansion include chronic kidney disease, surgical services, primary care and mental health. We've already reached key milestones, including opening a 20-bed inpatient mental health unit at Mackenzie Richmond Hill Hospital, launching a Primary Care Family Health Navigation Clinic at Cortellucci Vaughan Hospital and introducing stroke rehabilitation in the community. Planning is also underway for a seniors' development adjacent to Cortellucci Vaughan Hospital and advancing community engagement and planning for the future redevelopment of Mackenzie Richmond Hill Hospital. However, rising emergency visits and complex care needs — driven by population growth, aging demographics and limited community-based options — are placing increasing strain on the system. Western York Region is growing at a rapid pace. In 2021, its population was 600,000. In 2031, the population will increase by 120,000. The seniors' population has also grown by 23 per cent. Mackenzie Health's Emergency Department is now the second busiest in Ontario. These capacity pressures are not sustainable. Expanding our specialized services is essential to delivering timely, high-quality, person-centred care close to home.",Expanding capacity to meet health care needs by managing core services and corresponding access to specialized care | Continuing to plan for long-term growth through proactive land strategies and site planning,2025-01-01,2028-01-01,2025,2028,ACC,INF,high,full,"Primary theme is ACC: core focus is expanding service capacity, access to specialized care, and meeting rising demand driven by population growth. Secondary theme is INF: substantial emphasis on capital planning (shelled floors, site planning for Mackenzie Richmond Hill Hospital redevelopment, land strategies, seniors' development). The direction is fundamentally about access and capacity, enabled by infrastructure investment.",ok,TRUE,NA,NA,Mackenzie Health,2025,TRUE,Create a world-class health experience,Relentlessly improve care to create healthier communities,Excellence | Leadership | Empathy,NA,full,NA,pdf,2026-03-27,direction
701,RICHMOND HILL MACKENZIE HEALTH,Large Community Hospital,Community — Large,4,Integrated Care,"Integrated Care is integral to building healthier communities and ensuring people receive the right care, at the right time, in the right place. With rapid population growth, record-high emergency department volumes and limited hospital resources, expanding hospital-based services alone is not sustainable. To preserve our capacity for acute and specialized care, the broader health system must be strengthened through investments in care models that help keep people healthier in the community. Mackenzie Health has taken a leadership role in advancing integrated care, particularly through the Western York Region Ontario Health Team (WYR OHT). Key accomplishments to date include expanding the MackenzieHelps program, which helps patients transition home when they are discharged from Mackenzie Health, establishing a primary care navigation clinic and collaborating with local partners to reduce care fragmentation. Community engagement confirmed that residents look to Mackenzie Health to address care access gaps for seniors, individuals with chronic disease and other underserved groups. Looking ahead to 2025–2028, Mackenzie Health is working with partners to co-develop new, team-based primary care models supported by digital tools. These initiatives align with the Ontario Ministry of Health's Primary Care Action Plan and its $1.8 billion investment in expanding primary care teams.","Advancing the future of primary care in our region by expanding access and integration with our primary care partners | Bridging hospital and community services to facilitate smooth transitions across the health care system | Providing education to support capacity building for our primary care and community partners | Leveraging digital solutions to strengthen care co-ordination, information exchange and collaboration",2025-01-01,2028-01-01,2025,2028,PAR,ACC,high,full,"Primary theme is PAR due to strong emphasis on system integration, Ontario Health Team leadership, and multi-partner collaboration to strengthen the broader health system. Secondary theme is ACC because the direction explicitly addresses access gaps, care transitions, and service delivery models. The integration work serves both partnership-building and access improvement goals.",ok,TRUE,NA,NA,Mackenzie Health,2025,TRUE,Create a world-class health experience,Relentlessly improve care to create healthier communities,Excellence | Leadership | Empathy,NA,full,NA,pdf,2026-03-27,direction
701,RICHMOND HILL MACKENZIE HEALTH,Large Community Hospital,Community — Large,5,Education and Research,"As part of our evolution, education and research are playing a greater role in advancing care quality, sparking innovation and strengthening the health system for the future. During the 2022–2025 Strategic Plan, Mackenzie Health established a strong clinical education foundation, supporting more than 1,000 clinical placements annually. As a lead partner with the new York University School of Medicine, set to open in 2028, Mackenzie Health will help to plan and deliver clinical learning experiences for the doctors of tomorrow. In research, foundational progress has been made, including the establishment of a Research Council to support the development of a self-sustaining Research Office that will support patient care and access to care through clinical research in collaborations with academic and industry partners. Looking ahead to 2025-2028, an expanded teaching and research environment will enhance patient care, improve recruitment and retention, support community and system development, and strengthen primary and integrated care. Research will be central to improving care access, advancing patient outcomes and supporting learners in achieving their academic and professional goals.","Expanding and enhancing educational opportunities for learners, with a focus on providing hands-on clinical experience, mentorship and access to innovative learning resources | Creating an integrated training and education network to equip primary care providers with the skills, knowledge and resources needed to meet growing community health needs | Connecting learners to jobs at Mackenzie Health and in western York Region | Establishing a self-sustaining research program focusing on clinical research, including expanding access to clinical trials through academic and industry partnerships",2025-01-01,2028-01-01,2025,2028,RES,WRK,high,full,"Primary RES: Core focus on academic mission (medical education, clinical placements, York University School of Medicine partnership, Research Council, clinical trials). Secondary WRK: Explicit mention of recruitment and retention benefits, and connecting learners to jobs at the hospital. The workforce element is substantial enough to warrant secondary classification.",ok,TRUE,NA,NA,Mackenzie Health,2025,TRUE,Create a world-class health experience,Relentlessly improve care to create healthier communities,Excellence | Leadership | Empathy,NA,full,NA,pdf,2026-03-27,direction
701,RICHMOND HILL MACKENZIE HEALTH,Large Community Hospital,Community — Large,6,Digital Solutions,"As a leader in digital health, we're expanding our use of digital solutions, AI and smart technologies to enable world-class care.",NA,2025-01-01,2028-01-01,2025,2028,INN,NA,high,name_description,"Clear focus on digital transformation, AI, and technology adoption. While the goal is to 'enable world-class care', the strategic intent is fundamentally about innovation and digital health infrastructure rather than care delivery itself.",ok,TRUE,NA,NA,Mackenzie Health,2025,TRUE,Create a world-class health experience,Relentlessly improve care to create healthier communities,Excellence | Leadership | Empathy,NA,full,NA,pdf,2026-03-27,enabler
701,RICHMOND HILL MACKENZIE HEALTH,Large Community Hospital,Community — Large,7,Financial Health,We're strengthening our financial resilience to sustainably support continuous improvements in care and help create healthier communities.,NA,2025-01-01,2028-01-01,2025,2028,FIN,NA,high,name_description,"Clear financial sustainability focus. Description emphasizes financial resilience as the core strategic intent, with improved care as the outcome enabled by financial health rather than a co-equal theme.",ok,TRUE,NA,NA,Mackenzie Health,2025,TRUE,Create a world-class health experience,Relentlessly improve care to create healthier communities,Excellence | Leadership | Empathy,NA,full,NA,pdf,2026-03-27,enabler
701,RICHMOND HILL MACKENZIE HEALTH,Large Community Hospital,Community — Large,8,Strategic Partnerships,"We're building strong, collaborative relationships to amplify impact, drive innovation and advance shared goals to relentlessly support stronger community health outcomes.",NA,2025-01-01,2028-01-01,2025,2028,PAR,NA,high,name_description,Clear focus on external collaborative relationships and community partnerships. Innovation mentioned as an outcome of partnerships rather than a primary focus on digital/technology innovation.,ok,TRUE,NA,NA,Mackenzie Health,2025,TRUE,Create a world-class health experience,Relentlessly improve care to create healthier communities,Excellence | Leadership | Empathy,NA,full,NA,pdf,2026-03-27,enabler
